"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Caulobacteraceae",0.0,0.0,0.0010613457864572277,0.0008353346559465386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005180820804550995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhodobacteraceae",0.0004812898568162676,0.0,0.00021226915729144556,0.0,0.0,0.0009039775010044194,0.0,0.00011112345816201801,0.0,0.0,0.0,0.0,0.0,0.0,0.003093102381688834,0.0,0.0,0.0,0.004564125969876769,0.000444592641991775,0.0021365118632632406,0.0022213247172859453
"Phyllobacteriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000962000962000962,0.050995530272247055,0.0,0.0,0.00010310341272296113,0.0,0.0,0.0,0.0,0.0,0.0004497919712133138,0.0
"Deinococcaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008248273017836891,0.0,0.0,0.0,0.0,0.0006668889629876625,0.0,0.0
"FamilyII",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010821339681852614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"uncultured bacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007871359496232993,0.0
"Camelina sativa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018256503879507074,0.0,0.0,0.0
"Peptococcaceae",0.0,0.0,0.0004245383145828911,0.0,0.0,0.0,0.0,0.002444716079564396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peptostreptococcaceae",0.0,0.0,0.0025472298874973467,0.008144512895478751,0.0,0.0,0.0,0.036337370818979885,0.02178149719133326,0.08764842698004652,0.027417027417027416,0.0,0.007439011049119352,0.007250297586841251,0.0,0.0,0.005195631428268476,0.0054585152838427945,0.004906435417617526,0.017894853840168944,0.0,0.00010096930533117933
"uncultured bacterium",0.0,0.0035778175313059034,0.024835491403099128,0.02537329017437611,0.0,0.0007030936118923262,0.008368708308065494,0.014223802644738305,0.0027513470136420956,0.008446566287183254,0.0196007696007696,0.0,0.002734930532764468,0.000757493777729683,0.0,0.0,0.016011027462623263,0.004366812227074236,0.008215426745778184,0.0015560742469712125,0.0019116158776565839,0.0
"Unknown Family",0.0,0.012522361359570662,0.0030779027807259604,0.003863422783752741,0.0,0.0,0.0,0.002444716079564396,0.0,0.004284490145672665,0.007094757094757095,0.0,0.04157094409801991,0.01428416838004545,0.0,0.0,0.016541193934895556,0.00024260067928190198,0.0,0.0,0.0,0.0
"Family XIII",0.0,0.06759519550217225,0.008384631713012099,0.01555810796700428,0.0,0.0,0.0008489993935718618,0.027225247249694412,0.019947265848905195,0.04137593340678174,0.021284271284271284,0.0,0.008095394376982824,0.0,0.0,0.0,0.0,0.01455604075691412,0.0022820629849383844,0.0,0.0,0.0
"Clostridiales vadinBB60 group",0.0,0.0,0.0,0.016602276286937456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012130033964095099,0.0,0.0,0.0,0.0
"Family XI",0.0,0.1339125990288781,0.0,0.06275451602798371,0.027013456517372966,0.002109280835676979,0.0,0.010667851983553729,0.006075891321792961,0.04247765944424042,0.01948051948051948,0.0,0.018050541516245487,0.0,0.0003093102381688834,0.0,0.0,0.004124211547792334,0.0,0.0,0.0,0.0009087237479806139
"Coriobacteriaceae",0.0,0.0011500127779197546,0.0,0.012321186175211444,0.0,0.0,0.0,0.00022224691632403602,0.009858993465550843,0.0046517321581588935,0.0013227513227513227,0.0,0.0,0.008007791364570934,0.0,0.0,0.0,0.006792819019893256,0.005705157462345961,0.0,0.0,0.0
"Bacillaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.02304426925409339,0.0,0.0,0.0,0.0007215007215007215,0.0,0.0,0.0005410669840926307,0.0,0.0,0.0,0.0,0.0,0.001889518728465044,0.0,0.0
"Planococcaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022820629849383843,0.0,0.022152254582255705,0.0
"Staphylococcaceae",0.0,0.0,0.0012736149437486733,0.005012007935679232,0.003514762000401687,0.0,0.03007883565797453,0.000777864207134126,0.0,0.0,0.002886002886002886,0.0,0.0005469861065528935,0.0,0.009794824208681307,0.11299052774018944,0.05534937970522744,0.00024260067928190198,0.007074395253308992,0.012115149494275869,0.008321151467446306,0.01029886914378029
