"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Deinococci",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008044243338360985,0.0,0.0,0.0,0.0,0.0006162695152013147,0.0,0.0
"Cyanobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001006238679814852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chloroplast",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016532341392849763,0.0,0.0007133394476714562,0.003217373818620551
"uncultured bacterium",0.0,0.003177124702144559,0.024769768180374723,0.024811108842148256,0.0,0.0007015433954700341,0.007820469228153689,0.013404544978531784,0.0024783147459727386,0.007231188430098512,0.017532537377648705,0.0,0.0025906735751295338,0.0007043670758703965,0.0,0.0,0.015586292320396367,0.003704847175054029,0.007439553626782393,0.001437962202136401,0.0017323958014878224,0.0
"Unknown Class",0.0,0.011119936457505957,0.003069757595003705,0.0037778231570349194,0.0,0.0,0.0,0.0023039061681851504,0.0,0.00366799413120939,0.006346133161234807,0.0,0.039378238341968914,0.013282350573556048,0.0,0.0,0.01610239471511148,0.00020582484305855717,0.0,0.0,0.0,0.0
"Coriobacteriia",0.0,0.0010212186542607512,0.0,0.012048192771084338,0.0,0.0,0.0,0.00020944601528955913,0.008880627839735646,0.0039823936281701946,0.0011831773690437776,0.0,0.0,0.0074461662306299055,0.0,0.0,0.0,0.0057630956056396,0.0051663566852655505,0.0,0.0,0.0
"Clostridia",0.0,0.2171791671394531,0.16492008044881973,0.15815805595262405,0.026983649312869895,0.0021046301864101023,0.1566360648305565,0.12032673578385171,0.052664188351920695,0.1876964996856005,0.08357534688609229,0.00645682001614205,0.054196891191709846,0.024451599919500907,0.002011060834590246,0.01377075739165654,0.06141618497109826,0.0509416486569929,0.05393676379417235,0.04437140509449466,0.007541017018241109,0.0010054293183189222
"Negativicutes",0.0,0.021899466696924996,0.06954588758335979,0.025525832142127832,0.0,0.0,0.00464694548339567,0.02136349355953503,0.08168112350268485,0.06392789771536365,0.13057975691083146,0.0,0.03989637305699482,0.020627892936204466,0.0015082956259426848,0.0017213446739570675,0.019611890999174236,0.03128537614490069,0.037404422401322586,0.0049301561216105174,0.01915825945174768,0.0003016287954956767
"Erysipelotrichia",0.0,0.011687280154317485,0.0,0.028180518684909128,0.0,0.00010022048506714773,0.0,0.0017802911299612525,0.005472945064023131,0.015195975686438901,0.006776379477250726,0.0,0.000310880829015544,0.0007043670758703965,0.0,0.0,0.0,0.016465987444684572,0.01735895846249225,0.00585456039441249,0.0,0.0
"Fusobacteriia",0.0,0.001475093611709974,0.04022440986556579,0.0,0.0,0.0,0.035928822396010425,0.044088386218452194,0.020446096654275093,0.018759169985328023,0.015381305797569108,0.0,0.05772020725388601,0.0,0.00010055304172951231,0.0,0.1106523534269199,0.020479571884326437,0.013639181649101054,0.01509860312243221,0.006114338122898196,0.0
"Actinobacteria",0.6323678347174397,0.2616589129694769,0.5419709960834127,0.5715744333265265,0.8062995285384692,0.9185207456404089,0.42842570554233256,0.3698816630013614,0.18938455183808345,0.2253196394885768,0.13907712165214586,0.39588377723970947,0.2525388601036269,0.6927953310525257,0.8866767219708396,0.4251721344673957,0.3417630057803468,0.349078933827313,0.5560033064682786,0.6667009038619556,0.30816264139406907,0.9069977880554997
"Acidimicrobiia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010290556900726392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacilli",0.34079400445614744,0.44196073981618067,0.01979464380226527,0.09107616908311211,0.0052161701273949245,0.005812788133894568,0.14836223506743737,0.33668446957796627,0.21757538207352334,0.3546426325717879,0.22620200064536947,0.07223567393058919,0.4082901554404145,0.17216743811632118,0.09854198089492207,0.506784123126772,0.32380264244426094,0.45363795410106,0.20572432320727424,0.19402218570254726,0.3499439519005401,0.017393927206917355
